organizationDisplayName,name,displayName,type,ageCategory,level,relegationToDisplayName,description,logo,foundedYear,website,active
Liga MX Femenil,Liga MX Femenil,Liga MX Femenil,Domestic League,Professional,1,,Mexican women's top division professional league,,2016,http://www.ligafemenil.mx/,Active
Liga MX,Liga MX,Liga MX,Domestic League,Professional,1,,Mexican men's top division professional league,,1943,http://www.ligamx.net/,Active
Liga MX,Copa MX,Copa MX,Domestic Cup,Professional,1,,Mexican men’s top division professional cup,,1942,http://www.lacopamx.net/,Inactive
