tournamentSeasonDisplayName,displayName,type,startDate,endDate,status,totalMatches,description
Liga MX Apertura 2025,Apertura 2025,League,2025-07-11,2025-12-14,Completed,153,Liga MX Apertura 2025 regular season and Liguilla playoffs
Liga MX Clausura 2026,Clausura 2026,League,2026-01-09,2026-05-25,In Progress,126,Liga MX Clausura 2026 regular season and Liguilla playoffs
Liga MX Femenil Apertura 2025,Apertura 2025 Femenil,League,2025-07-11,2025-11-23,Completed,153,Liga MX Femenil Apertura 2025 regular season and Liguilla
Liga MX Femenil Clausura 2026,Clausura 2026 Femenil,League,2026-01-04,2026-05-19,In Progress,153,Liga MX Femenil Clausura 2026 regular season and Liguilla
